日付,日経平均,当行株価,NYダウ,対米ドル,対ユーロ,日本国債10年,米国国債10年,WTI先物期近物
2022-03-01,26844.72,611,33294.95,115.04,129.21,0.17,1.72,103.41
2022-03-02,26393.03,596,33891.35,115.16,127.78,0.13,1.86,110.6
2022-03-03,26577.27,610,33794.66,115.74,128.46,0.17,1.86,107.67
2022-03-04,25985.47,598,33614.8,115.46,127.18,0.155,1.74,115.68
2022-03-05,,,,,,,,
2022-03-06,,,,,,,,
2022-03-07,25221.41,590,32817.38,115.03,125.06,0.15,1.78,119.4
2022-03-08,24790.95,574,32632.64,115.46,125.41,0.155,1.86,123.7
2022-03-09,24717.53,586,33286.25,115.89,126.54,0.16,1.94,108.7
2022-03-10,25690.4,602,33174.07,115.94,128.3,0.185,1.98,106.02
2022-03-11,25162.78,608,32944.19,116.73,128.24,0.185,2,109.33
2022-03-12,,,,,,,,
2022-03-13,,,,,,,,
2022-03-14,25307.85,614,32945.24,117.73,128.73,0.19,2.14,103.01
2022-03-15,25346.48,632,33544.34,117.99,129.86,0.205,2.15,96.44
2022-03-16,25762.01,634,34063.1,118.38,129.76,0.2,2.19,95.04
2022-03-17,26652.89,647,34480.76,118.68,131.09,0.205,2.2,102.98
2022-03-18,26827.43,626,34754.93,118.87,131.7,0.205,2.14,104.7
2022-03-19,,,,,,,,
2022-03-20,,,,,,,,
2022-03-21,,,34552.99,,,,2.32,112.12
2022-03-22,27224.11,641,34807.46,120.48,132.36,0.215,2.38,111.76
2022-03-23,28040.16,658,34358.5,121.07,133.41,0.225,2.32,114.93
2022-03-24,28110.39,639,34707.94,121.64,133.56,0.23,2.34,112.34
2022-03-25,28149.84,645,34861.24,121.75,134.21,0.235,2.48,113.9
2022-03-26,,,,,,,,
2022-03-27,,,,,,,,
2022-03-28,27943.89,644,34955.89,123.93,135.75,0.25,2.46,105.96
2022-03-29,28252.42,638,35294.19,123.59,135.96,0.245,2.41,104.24
2022-03-30,28027.25,618,35228.81,121.88,135.65,0.22,2.35,107.82
2022-03-31,27821.43,600,34678.35,121.65,135.66,0.21,2.32,100.28
