日付,日経平均,当行株価,NYダウ,対米ドル,対ユーロ,日本国債10年,米国国債10年,WTI先物期近物
2021-10-11,,,34496.06,,,,,80.52
2021-10-12,28230.61,582,34378.34,113.30,130.95,0.09,1.59,80.64
2021-10-13,28140.28,571,34377.81,113.38,131.63,0.085,1.56,80.44
2021-10-14,28550.93,563,34912.56,113.38,131.63,0.08,1.52,81.31
2021-10-15,29068.63,571,35294.76,114.10,132.51,0.075,1.59,82.28
2021-10-16,,,,,,,,
2021-10-17,,,,,,,,
2021-10-18,29025.46,571,35258.61,114.30,132.53,0.085,1.59,82.44
2021-10-19,29215.52,568,35457.31,114.03,132.90,0.085,1.65,82.96
2021-10-20,29255.55,576,35609.34,114.36,132.95,0.09,1.65,83.87
2021-10-21,28708.58,572,35603.08,114.13,132.87,0.085,1.68,82.5
2021-10-22,28804.85,569,35677.02,113.90,132.61,0.095,1.66,83.76
2021-10-23,,,,,,,,
2021-10-24,,,,,,,,
2021-10-25,28600.41,565,35741.15,113.65,132.50,0.1,1.64,83.76
2021-10-26,29106.01,558,35756.88,114.05,132.30,0.105,1.63,84.65
2021-10-27,29098.24,556,35490.69,113.75,131.03,0.095,1.54,82.66
2021-10-28,28820.09,554,35730.48,113.61,131.91,0.09,1.57,82.81
2021-10-29,28892.69,557,35819.56,113.61,132.61,0.095,1.55,83.57
2021-10-30,,,,,,,,
2021-10-31,,,,,,,,
2021-11-01,29647.08,571,35913.84,114.43,132.35,0.09,1.58,84.05
2021-11-02,29520.9,567,36052.63,113.67,131.98,0.08,1.56,83.91
2021-11-03,,,36157.58,,,,1.6,80.86
2021-11-04,29794.37,580,36124.23,114.22,132.20,0.07,1.53,78.81
2021-11-05,29611.57,570,36327.95,113.77,131.55,0.055,1.45,81.27
2021-11-06,,,,,,,,
2021-11-07,,,,,,,,
2021-11-08,29507.05,568,36432.22,113.57,131.31,0.055,1.51,81.93
2021-11-09,29285.46,560.0,36319.98,112.86,130.88,0.060,,84.15
2021-11-10,29106.78,564.0,,113.10,130.87,,,
